Título,Precios
Tiro al Blanco O Morto,"29,00 €"
Sierra Cantabria XF,"21,00 €"
Numanthia Magnum,"126,00 €"
Capricho de Merenzao,"26,00 €"
Niepoort Tawny,"16,00 €"
Champagne Yannick Prévoteau Millésime 2010,"99,00 €"
LT 80/20,"15,00 €"
Torgo II,"26,00 €"
Garagewine La Autóctona,"20,00 €"
Marcoli,"58,00 €"
Viña María Luisa Alma,"24,00 €"
San Clodio,"14,00 €"
Ballestrinque Pdh,"14,00 €"
Termanthia 2015,"276,00 €"
Bancales Olvidados,"18,00 €"
Niepoort White,"16,00 €"
Champagne Yannick Prévoteau Blanc de Blancs Amandine,"62,00 €"
Abalo Méndez,"15,00 €"
Garagewine Cencibel,"14,00 €"
Con 2 Huevos,"10,00 €"
Felizia Palacio de Villachica Rosé,"14,00 €"
Vuelta de Escola vino dulce Pazo de Hermo,"22,00 €"
El Primer Paso,"16,00 €"
Ponte da Boga Mencía,"12,00 €"
Champagne Pommery Brut Apanage,"62,00 €"
Entre Lindes Airén,"10,00 €"
Abalo Méndez Magnum,"75,00 €"
Mirto,"65,00 €"
Astobiza Late Harvest 2016,"40,00 €"
Dominio del Bendito El Primer Paso,"16,00 €"
Capricho de Merenzao Caja Madera 3B,"78,00 €"
Pommery Apanage Blanc de Blancs,"75,00 €"
Pago de La Jaraba Sauvignon Blanc,"10,00 €"
Ondiña Pazo de Hermo,"14,00 €"
Valdovinos Crianza,"10,00 €"
Mirto 2 Botellas Caja Madera,"125,00 €"
Corzoás Mencía,"12,00 €"
Astobiza Late Harvest 2018,"32,00 €"
Feitizo da Noite,"22,00 €"
Blanco a Blanco de Golpe a Golpe,"14,00 €"
Debonair Pazo de Hermo,"14,00 €"
Valdovinos Selección Garnacha,"10,00 €"
Límite Sur Ramón Bilbao,"27,00 €"
Corzoás Mencia Barrica,"22,00 €"
Astobiza Late Harvest 2019,"28,00 €"
G.H. Martel Prestige Brut,"52,00 €"
Lías a Lías de Golpe a Golpe,"14,00 €"
Terra de Mareas Albariño,"16,00 €"
Valdovinos Selección Syrah,"12,00 €"
Réquiem,"20,00 €"
Viñedos de Altura Ramón Bilbao,"17,00 €"
Corzoás Mencia Cepas Viejas,"16,00 €"
Astobiza Late Harvest 2022,"24,00 €"
Granbazán Limousin,"28,00 €"
G.H. Martel Rosé Brut,"59,00 €"
Valdovinos Bresque Syrah,"10,00 €"
Re Minor,"12,00 €"
Ramón Bilbao Reserva Original,"25,00 €"
Espumoso Bule Bule Rosé PdH,"24,00 €"
Granbazán Etiqueta Verde,"13,00 €"
Pedro Méndez Albariño,"18,00 €"
José Luis Aristegui Mencía,"12,00 €"
Mibal Joven,"10,00 €"
Ramón Bilbao Edición Limitada,"18,00 €"
Espumoso Bule Bule Brut & Brut Nature PdH,"20,00 €"
Granbazán Etiqueta Ámbar,"16,00 €"
As Abeleiras,"22,00 €"
José Luis Aristegui Traste,"19,00 €"
Mibal Crianza,"18,00 €"
Ramón Bilbao Reserva,"22,00 €"
Benjamín Espumoso con partículas de oro,"9,00 €"
Granbazán Don Álvaro de Bazán,"28,00 €"
Quinta de Seixalvo,"26,00 €"
Habla del Silencio,"15,00 €"
Perfil de Mibal,"35,00 €"
Ramón Bilbao Crianza,"14,00 €"
Granbazán Veigalobos Albariño,"44,00 €"
Buraca,"14,00 €"
Mibal Selección,"22,00 €"
Estuche 3 Botellas Ramón Bilbao Edición Limitada,"52,00 €"
Gran Vino Pazo Barrantes,"44,00 €"
Pateira,"14,00 €"
Códice,"9,00 €"
Batallador,"14,00 €"
Finca Valhonta,"89,00 €"
Gran Vino de Guarda La Comtesse,"126,00 €"
Côte des Roses Chardonnay,"20,00 €"
Tinaha,"14,00 €"
Palacio de Villachica Ribera del Duero Crianza,"22,00 €"
Finca Ladero,"99,00 €"
Cloudy Bay Sauvignon Blanc,"38,00 €"
La Novicia,"9,00 €"
Palacio de Villachica Dehesa de Don Diego Vendimia Seleccionada,"30,00 €"
LAN A Mano,"38,00 €"
Mar de Frades Godello,"25,00 €"
Domimio del Pidio Albillo,"49,00 €"
Nexo,"14,00 €"
El Ilusionista Roble,"12,00 €"
LAN D-12,"12,00 €"
Sorregar Albariño de Pazo de Hermo,"15,00 €"
Domimio del Pidio Albillo Magnum,"111,00 €"
Núcleo,"22,00 €"
El Ilusionista Joven,"10,00 €"
Magnum LAN D-12,"36,00 €"
Quiban Iturria,"12,00 €"
Bigardo,"14,00 €"
El Ilusionista Crianza,"15,00 €"
LAN XTRÈME,"15,00 €"
Airén GarageWine 2021,"14,00 €"
Satélite,"19,00 €"
Legaris Roble,"12,00 €"
LAN 7 METROS,"14,00 €"
Airén GarageWine 2022,"14,00 €"
Pellejo,"26,00 €"
Legaris Crianza,"20,00 €"
LAN Reserva,"14,00 €"
Verdoncho GarageWine 2022,"14,00 €"
Legaris Moradillo de Roa,"44,00 €"
Magnum LAN Crianza,"30,00 €"
Verdoncho GarageWine 2021,"14,00 €"
Lar de Maia Garnacha,"45,00 €"
Legaris Alcubilla de Avellaneda,"44,00 €"
Gil Berzal Tradición,"10,00 €"
Vizar Verdejo,"10,00 €"
Entre Lindes Vino de Familia,"12,00 €"
Páramos de Legaris,"22,00 €"
Gil Berzal Pequeñas Parcelas,"12,00 €"
Nudo de 8 PdH,"14,00 €"
Entre Lindes Crianza,"14,00 €"
Austum Ecológico,"14,00 €"
Recoveco Valcavada,"22,00 €"
As de Guía  PdH,"14,00 €"
Viña Jaraba,"10,00 €"
Domimio del Pidio,"49,00 €"
Recoveco San Julián,"32,00 €"
Balancines Roble sobre Lías blanco,"15,00 €"
Pago de La Jaraba,"16,00 €"
PSI Dominio de Pingus,"59,00 €"
Alma Pura El Barranco de San Julián,"59,00 €"
Valdovinos Berdá Parraleta,"20,00 €"
Habla la Tierra,"11,00 €"
Preludio Sei Solo,"39,00 €"
Izena,"12,00 €"
Malkoa By Astobiza 2015,"38,00 €"
Nexus Crianza,"24,00 €"
Tinto a Tinto de Golpe a Golpe,"16,00 €"
5. Zintzo,"10,00 €"
Malkoa By Astobiza 2017,"34,00 €"
Nexus One,"14,00 €"
Malkoa By Astobiza 2018,"30,00 €"
Pagos de Quintana Roble,"14,00 €"
Astobiza Txakoli 2023,"12,00 €"
Pagos de Quintana 12 Meses en Barrica,"24,00 €"
Palacio de Villachica Rioja Crianza,"14,00 €"
Cillar,"10,00 €"
Pateira Tinto,"14,00 €"
David Perica Vendimia Selecionada,"22,00 €"
Cillar Magnum,"20,00 €"
SOSPECHOSO,"10,00 €"
En la cuerda floja,"12,00 €"
Cillar de Silos,"20,00 €"
Domaine de La Janasse Côtes-du-Rhône,"18,00 €"
Viña Pomal Crianza,"12,00 €"
Cillar de Silos Magnum,"36,00 €"
Post Scriptum de Chryseia 2021,"24,00 €"
Viña Pomal Reserva,"24,00 €"
Torresilo,"32,00 €"
Post Scriptum de Chryseia Caja Madera 3 bot,"60,00 €"
Viña Pomal Selección 500,"22,00 €"
Torresilo Magnum,"64,00 €"
Château Rocheyron,"164,00 €"
Viña Pomal Selección 106 Reserva,"26,00 €"
Flor de Silos,"54,00 €"
Terrazas de los Andes Malbec,"20,00 €"
La Vicalanda Viñas Viejas,"26,00 €"
Vizar Barrica Viñedos Orgánicos,"10,00 €"
La Viña de Amalio,"62,00 €"
Viña Paceta Crianza,"10,00 €"
TINTO CAIÑO NUDO DE SILLA DE  Pazo de Hermo,"16,00 €"
Domimio del Pidio Magnum,"98,00 €"
Orube Crianza,"12,00 €"
Flor de Pingus,"150,00 €"
Altanza Familia Reserva,"22,00 €"
Mibal Roble,"12,00 €"
Balancines Garnacha & Garnacha 2020,"16,00 €"
Valvarés de Altanza,"14,00 €"
Haragán de los Balancines Reserva Especial,"32,00 €"
Ramón Bilbao Garnacha Edición Limitada,"17,00 €"
Balancines Crianza Gold,"12,00 €"
Vallobera Crianza,"10,00 €"
Huno de los Balancines Reserva,"16,00 €"
Vallobera Reserva,"14,00 €"
Mastines Garnacha Tintorera,"45,00 €"
Finca Vallobera,"16,00 €"
Mastines Garnacha Salvaje,"45,00 €"
Terran de Vallobera,"30,00 €"
Mastines Cabernet Indígena,"45,00 €"
Marqués de Murrieta,"28,00 €"
Barbas de Gata Los Balancines,"34,00 €"
Dalmau,"185,00 €"
Viña de Buenavista Los Balancines,"55,00 €"
Quiñón de Valmira,"468,00 €"
Cerro del Boticario Los Balancines,"80,00 €"
La Cueva del Contador,"90,00 €"
La Viña del Hombre Los Balancines,"170,00 €"
Contador,"402,00 €"
Viña la Forajida Los Balancines,"250,00 €"
Murmurón,"9,00 €"
Valdovinos Berdá Syrah,"18,00 €"
Sierra Cantabria Crianza,"14,00 €"
Post Scriptum de Chryseia 2022,"22,00 €"
Sierra Cantabria Garnacha,"16,00 €"
A Reza de José Luis Aristegui,"20,00 €"
Mitarte Faula,"29,00 €"
