id,empresa,sector,año,ingresos_mill_eur,costes_mill_eur,beneficio_mill_eur,empleados,region
77,EnergyCorp,Energía,2020,91.39,54.59,36.8,,Europa
78,HealthBridge,Servicios,2021,128.66,98.2,30.46,197.0,Europa
79,SoftSystems,Tecnología,2016,205.76,,36.34,87.0,Asia
80,RetailPlus,Retail,2015,127.46,104.08,23.38,318.0,Asia
81,InduWare,Industrial,2018,88.3,59.45,28.85,290.0,
82,InduWare,Industrial,2022,154.63,136.63,18.0,223.0,Asia
83,CloudNet,Tecnología,2019,101.0,77.53,23.47,,América
84,FoodLogix,Retail,2019,544.8,118.81,17.39,969.0,Europa
85,FoodLogix,Retail,2019,204.89,,40.32,128.0,Asia
86,TechNova,Tecnología,2024,100.63,57.96,42.67,193.0,Asia
87,SoftSystems,Tecnología,2016,137.75,100.0,37.75,175.0,América
88,GreenPower,Energía,2015,117.62,,-2.41,168.0,Europa
89,CloudNet,Tecnología,2021,109.9,92.38,17.52,380.0,América
90,CloudNet,Tecnología,2016,62.79,37.19,25.6,260.0,Asia
91,GreenPower,Energía,2019,177.65,162.01,15.64,343.0,Europa
92,GreenPower,Energía,2018,120.41,100.23,20.18,286.0,Europa
93,SoftSystems,Tecnología,2020,127.96,103.96,24.0,255.0,Asia
94,TechNova,Tecnología,2017,104.59,73.45,31.14,302.0,Asia
95,InduWare,Industrial,2022,183.44,165.82,17.62,,Asia
96,AutoMotion,Industrial,2019,,13.44,28.48,297.0,América
97,AutoMotion,Industrial,2016,131.24,,23.77,,Asia
98,InduWare,Industrial,2021,100.28,76.17,24.11,317.0,América
99,RetailPlus,Retail,2022,134.28,111.21,23.07,321.0,
100,GreenPower,Energía,2015,132.29,94.16,38.13,300.0,América
101,HealthBridge,Servicios,2016,86.84,62.44,24.4,309.0,
102,FoodLogix,Retail,2016,144.41,114.62,29.79,259.0,América
103,RetailPlus,Retail,2019,,147.03,24.08,293.0,
104,EnergyCorp,Energía,2017,111.91,84.09,27.82,337.0,América
105,AutoMotion,Industrial,2015,153.02,114.88,38.14,354.0,
106,CloudNet,Tecnología,2016,120.84,84.02,36.82,225.0,Asia
107,FoodLogix,Retail,2024,132.97,104.27,28.7,257.0,América
108,SoftSystems,Tecnología,2018,143.81,121.99,21.82,417.0,Europa
109,CloudNet,Tecnología,2015,79.76,61.9,17.86,342.0,Asia
110,HealthBridge,Servicios,2020,151.67,115.43,36.24,300.0,Europa
111,GreenPower,Energía,2016,119.51,98.48,21.03,256.0,Asia
112,RetailPlus,Retail,2018,92.91,,39.75,238.0,América
113,HealthBridge,Servicios,2016,86.98,60.19,26.79,283.0,Europa
114,HealthBridge,Servicios,2019,97.45,75.67,21.78,269.0,Europa
115,SoftSystems,Tecnología,2017,129.8,104.87,24.93,212.0,América
116,EnergyCorp,Energía,2018,129.28,113.76,15.52,137.0,Europa
117,CloudNet,Tecnología,2020,91.26,63.39,27.87,274.0,
118,EnergyCorp,Energía,2017,179.01,140.43,38.58,237.0,Europa
119,CloudNet,Tecnología,2017,119.24,99.27,19.97,248.0,
120,HealthBridge,Servicios,2015,108.45,75.22,33.23,183.0,Asia
121,InduWare,Industrial,2024,140.77,95.44,45.33,241.0,Asia
122,SoftSystems,Tecnología,2021,136.07,99.17,36.9,217.0,Asia
123,EnergyCorp,Energía,2020,128.96,98.83,30.13,,América
124,AutoMotion,Industrial,2020,89.08,58.83,30.25,289.0,América
125,InduWare,Industrial,2018,178.05,138.46,39.59,422.0,Europa
126,EnergyCorp,Energía,2017,89.31,50.59,38.72,264.0,América
127,EnergyCorp,Energía,2018,207.59,185.67,21.92,,América
128,HealthBridge,Servicios,2017,96.02,87.26,8.76,207.0,Asia
129,CloudNet,Tecnología,2020,89.63,58.13,31.5,277.0,Europa
130,AutoMotion,Industrial,2017,195.05,,39.5,,Europa
131,AutoMotion,Industrial,2015,84.06,,34.92,,América
132,EnergyCorp,Energía,2019,193.26,151.47,41.79,212.0,Europa
133,CloudNet,Tecnología,2018,51.47,7.93,43.54,240.0,América
134,SoftSystems,Tecnología,2020,169.51,155.45,14.06,202.0,América
135,TechNova,Tecnología,2020,,89.74,30.47,213.0,Asia
136,RetailPlus,Retail,2017,144.91,125.59,19.32,238.0,América
137,RetailPlus,Retail,2022,124.81,89.67,35.14,306.0,Asia
138,FoodLogix,Retail,2019,75.01,60.35,14.66,352.0,Asia
139,EnergyCorp,Energía,2018,133.29,110.77,22.52,374.0,Asia
140,SoftSystems,Tecnología,2022,124.63,82.84,41.79,255.0,Asia
141,HealthBridge,Servicios,2024,,154.88,47.55,230.0,Europa
142,HealthBridge,Servicios,2023,158.86,122.41,36.45,,América
143,EnergyCorp,Energía,2017,81.4,44.54,36.86,334.0,Europa
144,HealthBridge,Servicios,2015,49.65,,18.17,86.0,Europa
145,AutoMotion,Industrial,2024,109.22,72.04,37.18,370.0,Asia
146,InduWare,Industrial,2023,122.96,76.67,46.29,139.0,Asia
147,HealthBridge,Servicios,2021,51.86,22.42,29.44,280.0,Europa
148,HealthBridge,Servicios,2017,118.69,109.36,9.33,242.0,Europa
149,FoodLogix,Retail,2024,,31.12,36.7,279.0,Europa
150,AutoMotion,Industrial,2022,82.4,,24.86,,Europa
151,SoftSystems,Tecnología,2020,117.49,77.94,39.55,171.0,América
152,TechNova,Tecnología,2017,140.16,115.46,24.7,186.0,América
153,CloudNet,Tecnología,2017,115.72,96.07,19.65,205.0,Europa
154,GreenPower,Energía,2021,72.08,22.43,49.65,252.0,América
155,EnergyCorp,Energía,2022,92.01,59.87,32.14,241.0,América
156,HealthBridge,Servicios,2023,111.16,75.02,36.14,310.0,América
157,HealthBridge,Servicios,2022,,74.54,24.24,227.0,Asia
158,GreenPower,Energía,2017,27.92,13.07,14.85,359.0,
159,InduWare,Industrial,2022,185.8,,27.51,296.0,
160,CloudNet,Tecnología,2016,132.45,71.66,60.79,339.0,Europa
161,TechNova,Tecnología,2020,114.88,94.44,20.44,121.0,América
162,RetailPlus,Retail,2019,128.14,105.7,22.44,136.0,Europa
163,AutoMotion,Industrial,2017,94.14,74.96,19.18,384.0,Europa
164,CloudNet,Tecnología,2024,155.27,125.35,29.92,368.0,América
165,RetailPlus,Retail,2024,123.09,101.7,21.39,371.0,América
166,HealthBridge,Servicios,2017,141.56,121.93,19.63,234.0,América
167,CloudNet,Tecnología,2019,84.98,68.81,16.17,324.0,América
168,CloudNet,Tecnología,2015,196.38,180.37,16.01,295.0,Europa
169,SoftSystems,Tecnología,2023,93.97,68.84,25.13,202.0,América
170,HealthBridge,Servicios,2020,85.44,54.95,30.49,183.0,Europa
171,SoftSystems,Tecnología,2021,130.82,101.32,29.5,230.0,Asia
172,HealthBridge,Servicios,2020,83.7,59.47,24.23,310.0,Asia
173,AutoMotion,Industrial,2020,140.04,119.82,20.22,257.0,Asia
174,TechNova,Tecnología,2016,150.06,136.75,13.31,293.0,América
175,CloudNet,Tecnología,2022,93.5,57.79,35.71,188.0,Europa
176,SoftSystems,Tecnología,2016,47.8,34.08,13.72,253.0,Europa
177,FoodLogix,Retail,2019,130.39,109.43,20.96,301.0,Asia
178,AutoMotion,Industrial,2017,53.54,24.2,29.34,153.0,Asia
179,GreenPower,Energía,2015,93.93,63.46,30.47,181.0,América
180,RetailPlus,Retail,2020,104.62,64.56,40.06,203.0,Asia
181,InduWare,Industrial,2020,153.43,134.73,18.7,292.0,Europa
182,CloudNet,Tecnología,2018,177.66,172.38,5.28,186.0,Asia
183,HealthBridge,Servicios,2024,143.08,115.11,27.97,279.0,Asia
184,TechNova,Tecnología,2020,95.84,64.97,30.87,237.0,
185,FoodLogix,Retail,2020,166.71,134.17,32.54,277.0,América
186,EnergyCorp,Energía,2020,103.52,78.4,25.12,215.0,Asia
187,CloudNet,Tecnología,2020,135.78,109.99,25.79,273.0,América
188,SoftSystems,Tecnología,2015,203.02,164.31,38.71,223.0,Europa
189,TechNova,Tecnología,2016,168.05,142.13,25.92,86.0,Europa
190,CloudNet,Tecnología,2019,79.68,68.39,11.29,221.0,Asia
191,EnergyCorp,Energía,2019,120.74,73.98,46.76,276.0,Europa
192,SoftSystems,Tecnología,2015,111.24,72.95,38.29,73.0,Asia
193,RetailPlus,Retail,2022,129.42,91.71,37.71,,Asia
194,InduWare,Industrial,2016,165.75,132.37,33.38,216.0,Europa
195,GreenPower,Energía,2022,,92.6,52.71,264.0,Asia
196,GreenPower,Energía,2017,129.93,104.52,25.41,182.0,América
197,GreenPower,Energía,2017,153.21,131.77,21.44,255.0,Europa
198,TechNova,Tecnología,2024,100.89,66.1,34.79,,Europa
199,SoftSystems,Tecnología,2015,161.5,136.6,24.9,228.0,
200,SoftSystems,Tecnología,2018,80.85,55.29,25.56,280.0,Asia
201,RetailPlus,Retail,2024,150.28,129.5,20.78,319.0,
202,InduWare,Industrial,2022,,140.1,34.13,400.0,Europa
203,TechNova,Tecnología,2017,89.05,71.5,17.55,107.0,Asia
204,CloudNet,Tecnología,2019,,143.3,36.54,,América
205,CloudNet,Tecnología,2016,131.2,112.45,18.75,445.0,América
206,TechNova,Tecnología,2023,125.17,94.08,31.09,,América
207,RetailPlus,Retail,2023,139.24,107.0,32.24,186.0,América
208,TechNova,Tecnología,2015,138.86,90.04,48.82,357.0,Asia
209,TechNova,Tecnología,2019,183.73,158.84,24.89,170.0,América
210,CloudNet,Tecnología,2016,114.97,84.41,30.56,337.0,América
211,TechNova,Tecnología,2017,52.3,7.0,45.3,237.0,Asia
212,HealthBridge,Servicios,2022,102.92,83.04,19.88,117.0,América
213,AutoMotion,Industrial,2023,152.93,122.2,30.73,146.0,Asia
214,FoodLogix,Retail,2019,68.2,41.56,26.64,383.0,Asia
215,EnergyCorp,Energía,2016,109.62,94.65,14.97,230.0,Asia
216,HealthBridge,Servicios,2016,109.09,106.06,3.03,245.0,América
217,AutoMotion,Industrial,2021,110.76,,36.96,397.0,Europa
218,EnergyCorp,Energía,2022,165.06,137.75,27.31,161.0,América
219,SoftSystems,Tecnología,2015,222.93,192.34,30.59,251.0,América
220,RetailPlus,Retail,2015,119.03,87.05,31.98,238.0,América
221,CloudNet,Tecnología,2015,,72.52,24.53,247.0,
222,FoodLogix,Retail,2021,98.26,75.39,22.87,258.0,Europa
223,TechNova,Tecnología,2015,109.8,64.76,45.04,37.0,Asia
224,AutoMotion,Industrial,2023,163.66,121.2,42.46,84.0,Asia
225,TechNova,Tecnología,2020,106.29,80.0,26.29,137.0,América
226,FoodLogix,Retail,2022,88.89,70.0,18.89,390.0,Europa
227,SoftSystems,Tecnología,2024,157.43,,42.72,307.0,Asia
228,AutoMotion,Industrial,2022,74.84,50.09,24.75,289.0,Europa
229,EnergyCorp,Energía,2017,,33.98,37.13,230.0,
230,EnergyCorp,Energía,2015,105.01,67.9,37.11,285.0,Asia
231,GreenPower,Energía,2019,105.56,63.97,41.59,163.0,América
232,SoftSystems,Tecnología,2024,144.64,108.71,35.93,225.0,
233,TechNova,Tecnología,2018,,115.56,17.49,323.0,América
234,TechNova,Tecnología,2018,112.6,87.83,24.77,333.0,Asia
235,GreenPower,Energía,2018,91.83,75.91,15.92,125.0,Asia
236,HealthBridge,Servicios,2015,144.24,127.04,17.2,390.0,Europa
237,HealthBridge,Servicios,2024,36.72,0.0,36.72,266.0,Europa
238,HealthBridge,Servicios,2016,116.13,,24.55,281.0,Asia
239,InduWare,Industrial,2023,118.49,77.46,41.03,259.0,Europa
240,HealthBridge,Servicios,2022,126.01,99.65,26.36,245.0,Europa
241,RetailPlus,Retail,2016,132.31,119.41,12.9,142.0,Europa
242,FoodLogix,Retail,2022,149.73,118.02,31.71,235.0,América
243,CloudNet,Tecnología,2018,120.74,87.26,33.48,206.0,Asia
244,HealthBridge,Servicios,2018,88.87,,31.96,171.0,Europa
245,EnergyCorp,Energía,2024,136.33,123.36,12.97,332.0,América
246,FoodLogix,Retail,2021,138.9,106.34,32.56,328.0,Europa
247,HealthBridge,Servicios,2020,186.62,146.48,40.14,102.0,América
248,InduWare,Industrial,2021,68.82,,23.75,252.0,Europa
249,FoodLogix,Retail,2021,140.71,117.97,22.74,,Europa
250,InduWare,Industrial,2017,89.78,65.9,23.88,,América
251,TechNova,Tecnología,2015,83.07,66.59,16.48,171.0,Asia
252,GreenPower,Energía,2018,162.15,141.64,20.51,460.0,América
253,FoodLogix,Retail,2016,139.73,107.88,31.85,181.0,América
254,FoodLogix,Retail,2022,148.01,123.77,24.24,259.0,Asia
255,RetailPlus,Retail,2016,222.4,,29.04,341.0,Europa
256,GreenPower,Energía,2016,91.87,62.22,29.65,391.0,
257,RetailPlus,Retail,2019,94.92,46.8,48.12,306.0,Europa
258,AutoMotion,Industrial,2018,97.5,61.18,36.32,327.0,Asia
259,CloudNet,Tecnología,2015,144.87,130.57,14.3,191.0,América
260,CloudNet,Tecnología,2017,110.1,80.84,29.26,,Asia
261,CloudNet,Tecnología,2018,127.11,,16.65,280.0,América
262,AutoMotion,Industrial,2020,144.42,108.82,35.6,,América
263,EnergyCorp,Energía,2021,,118.77,34.59,244.0,Europa
264,FoodLogix,Retail,2017,53.56,19.26,34.3,266.0,Europa
265,GreenPower,Energía,2020,130.86,113.63,17.23,163.0,Asia
266,AutoMotion,Industrial,2015,162.13,132.53,29.6,304.0,Asia
267,CloudNet,Tecnología,2023,121.13,90.83,30.3,325.0,Asia
268,GreenPower,Energía,2019,99.36,68.4,30.96,213.0,Asia
269,CloudNet,Tecnología,2017,,75.71,26.91,,Europa
270,RetailPlus,Retail,2017,100.85,58.29,42.56,178.0,América
271,HealthBridge,Servicios,2018,112.53,86.93,25.6,365.0,Asia
272,EnergyCorp,Energía,2024,127.86,87.54,40.32,131.0,Asia
273,InduWare,Industrial,2019,130.68,91.78,38.9,256.0,Europa
274,CloudNet,Tecnología,2017,162.62,137.79,24.83,362.0,América
275,EnergyCorp,Energía,2020,211.96,185.59,26.37,214.0,Asia
276,GreenPower,Energía,2021,,132.34,45.8,,América
277,HealthBridge,Servicios,2017,103.19,76.01,27.18,142.0,Europa
278,GreenPower,Energía,2022,83.25,63.29,19.96,188.0,Europa
279,CloudNet,Tecnología,2021,118.61,86.27,32.34,374.0,Asia
280,FoodLogix,Retail,2017,80.07,40.23,39.84,232.0,América
281,HealthBridge,Servicios,2017,118.02,,36.75,160.0,América
282,AutoMotion,Industrial,2023,135.3,103.64,31.66,289.0,América
283,FoodLogix,Retail,2016,131.57,77.02,54.55,198.0,América
284,GreenPower,Energía,2017,98.76,74.99,23.77,205.0,Asia
285,GreenPower,Energía,2022,94.5,52.61,41.89,363.0,Asia
286,GreenPower,Energía,2022,97.17,75.49,21.68,287.0,América
287,SoftSystems,Tecnología,2017,97.91,61.58,36.33,266.0,América
288,GreenPower,Energía,2021,59.37,13.89,45.48,393.0,Europa
289,InduWare,Industrial,2017,95.49,69.37,26.12,272.0,América
290,TechNova,Tecnología,2019,133.38,96.79,36.59,410.0,Asia
291,GreenPower,Energía,2020,112.92,90.9,22.02,139.0,Asia
292,GreenPower,Energía,2020,90.76,61.09,29.67,393.0,Asia
293,EnergyCorp,Energía,2021,99.3,67.06,32.24,248.0,
294,EnergyCorp,Energía,2022,167.54,112.27,55.27,207.0,
295,InduWare,Industrial,2018,100.42,59.98,40.44,304.0,Asia
296,AutoMotion,Industrial,2024,,158.03,35.84,,
297,HealthBridge,Servicios,2016,143.63,102.54,41.09,315.0,
298,TechNova,Tecnología,2015,140.29,99.62,40.67,343.0,Asia
299,AutoMotion,Industrial,2020,175.29,138.8,36.49,,
300,EnergyCorp,Energía,2015,125.87,83.8,42.07,184.0,América
301,EnergyCorp,Energía,2023,134.75,108.68,26.07,252.0,América
302,SoftSystems,Tecnología,2024,171.14,139.23,31.91,253.0,Europa
303,HealthBridge,Servicios,2023,65.61,28.15,37.46,301.0,América
304,TechNova,Tecnología,2024,206.53,179.61,26.92,267.0,Europa
305,EnergyCorp,Energía,2024,129.98,84.21,45.77,242.0,Asia
306,FoodLogix,Retail,2022,131.16,95.08,36.08,264.0,América
307,AutoMotion,Industrial,2019,102.14,70.2,31.94,335.0,América
308,FoodLogix,Retail,2019,78.94,47.61,31.33,193.0,Europa
309,CloudNet,Tecnología,2019,167.8,,14.77,205.0,Europa
310,FoodLogix,Retail,2018,,89.43,45.66,244.0,Asia
311,FoodLogix,Retail,2020,97.79,48.98,48.81,134.0,Europa
312,CloudNet,Tecnología,2019,32.05,0.0,32.05,209.0,Europa
313,GreenPower,Energía,2023,79.15,42.07,37.08,269.0,Asia
314,HealthBridge,Servicios,2023,97.44,80.24,17.2,319.0,Europa
315,InduWare,Industrial,2020,,117.0,29.01,397.0,Asia
316,AutoMotion,Industrial,2017,77.2,62.46,14.74,194.0,Europa
317,InduWare,Industrial,2024,118.18,85.75,32.43,230.0,
318,EnergyCorp,Energía,2018,134.08,116.6,17.48,365.0,Europa
319,InduWare,Industrial,2018,116.71,75.54,41.17,277.0,Asia
320,AutoMotion,Industrial,2021,138.27,102.57,35.7,285.0,Asia
321,HealthBridge,Servicios,2017,145.71,102.42,43.29,265.0,América
322,HealthBridge,Servicios,2015,,119.26,29.1,365.0,América
323,HealthBridge,Servicios,2021,,44.93,48.01,246.0,América
324,AutoMotion,Industrial,2016,62.77,31.49,31.28,195.0,Europa
325,TechNova,Tecnología,2019,153.63,130.16,23.47,214.0,Europa
326,SoftSystems,Tecnología,2017,44.42,18.94,25.48,56.0,América
327,CloudNet,Tecnología,2015,56.64,,37.6,312.0,América
328,HealthBridge,Servicios,2019,137.02,116.69,20.33,246.0,Europa
329,CloudNet,Tecnología,2024,119.86,101.44,18.42,370.0,América
330,TechNova,Tecnología,2018,,127.3,27.79,252.0,Europa
331,EnergyCorp,Energía,2024,,118.76,9.58,230.0,América
332,RetailPlus,Retail,2019,92.72,72.74,19.98,227.0,Europa
333,GreenPower,Energía,2023,191.91,155.5,36.41,,América
334,GreenPower,Energía,2023,142.9,98.91,43.99,323.0,Asia
335,RetailPlus,Retail,2019,122.39,98.86,23.53,305.0,Asia
336,EnergyCorp,Energía,2023,135.74,96.79,38.95,300.0,Europa
337,CloudNet,Tecnología,2021,161.98,137.33,24.65,355.0,Europa
338,AutoMotion,Industrial,2021,127.9,77.15,50.75,194.0,América
339,TechNova,Tecnología,2015,189.44,,31.98,197.0,Europa
340,InduWare,Industrial,2015,100.64,73.84,26.8,283.0,América
341,InduWare,Industrial,2019,140.91,116.65,24.26,248.0,América
342,EnergyCorp,Energía,2017,205.69,158.41,47.28,284.0,Europa
343,SoftSystems,Tecnología,2023,121.52,90.32,31.2,299.0,América
344,HealthBridge,Servicios,2018,79.09,51.66,27.43,,Asia
345,SoftSystems,Tecnología,2015,135.97,99.5,36.47,211.0,Asia
346,TechNova,Tecnología,2023,182.96,165.22,17.74,132.0,América
347,FoodLogix,Retail,2018,128.98,88.51,40.47,384.0,
348,TechNova,Tecnología,2022,101.64,60.85,40.79,246.0,América
349,EnergyCorp,Energía,2019,113.09,74.25,38.84,302.0,Europa
350,FoodLogix,Retail,2019,56.94,12.17,44.77,,Asia
351,EnergyCorp,Energía,2018,94.98,61.02,33.96,289.0,Asia
352,InduWare,Industrial,2023,130.43,,24.5,,América
353,HealthBridge,Servicios,2017,118.98,77.25,41.73,,Europa
354,FoodLogix,Retail,2015,105.18,67.46,37.72,22.0,Europa
355,TechNova,Tecnología,2017,165.95,153.35,12.6,221.0,Asia
356,GreenPower,Energía,2015,75.21,58.16,17.05,342.0,América
357,HealthBridge,Servicios,2021,101.29,67.82,33.47,,Europa
358,InduWare,Industrial,2023,139.08,108.31,30.77,147.0,América
359,SoftSystems,Tecnología,2018,159.85,134.79,25.06,125.0,Europa
360,SoftSystems,Tecnología,2023,,57.87,45.01,318.0,Europa
361,TechNova,Tecnología,2015,106.05,79.54,26.51,224.0,Europa
362,TechNova,Tecnología,2019,203.07,169.25,33.82,284.0,América
363,AutoMotion,Industrial,2022,161.21,128.82,32.39,,Europa
364,HealthBridge,Servicios,2016,112.15,82.87,29.28,247.0,América
365,SoftSystems,Tecnología,2023,149.11,118.59,30.52,308.0,
366,HealthBridge,Servicios,2021,116.77,85.98,30.79,90.0,Europa
367,InduWare,Industrial,2022,156.65,123.19,33.46,329.0,Europa
368,GreenPower,Energía,2018,4.15,,4.15,238.0,América
369,TechNova,Tecnología,2015,657.32,144.73,19.6,897.0,Europa
370,TechNova,Tecnología,2021,77.86,54.1,23.76,403.0,Asia
371,RetailPlus,Retail,2017,112.37,80.2,32.17,319.0,América
372,EnergyCorp,Energía,2018,139.83,108.33,31.5,279.0,Europa
373,HealthBridge,Servicios,2021,216.14,,29.42,266.0,América
374,HealthBridge,Servicios,2018,,,41.06,344.0,Europa
375,SoftSystems,Tecnología,2024,145.55,126.98,18.57,380.0,Europa
376,GreenPower,Energía,2023,74.15,41.12,33.03,189.0,América
377,CloudNet,Tecnología,2024,117.43,84.14,33.29,275.0,América
378,InduWare,Industrial,2016,136.88,90.74,46.14,286.0,Europa
379,AutoMotion,Industrial,2016,110.23,70.59,39.64,345.0,Asia
380,InduWare,Industrial,2021,70.9,34.93,35.97,306.0,Asia
381,EnergyCorp,Energía,2017,,64.34,43.76,237.0,Europa
382,GreenPower,Energía,2021,125.02,96.75,28.27,251.0,Europa
383,TechNova,Tecnología,2015,,60.55,15.6,377.0,Asia
384,AutoMotion,Industrial,2017,86.12,66.03,20.09,77.0,América
385,SoftSystems,Tecnología,2017,94.44,,16.77,,Europa
386,FoodLogix,Retail,2015,160.39,137.27,23.12,430.0,Asia
387,FoodLogix,Retail,2022,159.27,132.52,26.75,50.0,América
388,GreenPower,Energía,2021,211.64,195.54,16.1,118.0,América
389,InduWare,Industrial,2017,160.9,106.5,54.4,360.0,Asia
390,FoodLogix,Retail,2024,142.56,106.61,35.95,318.0,América
391,RetailPlus,Retail,2022,150.36,117.55,32.81,258.0,América
392,HealthBridge,Servicios,2019,,95.04,22.46,227.0,Asia
393,InduWare,Industrial,2016,52.28,23.26,29.02,170.0,Europa
394,EnergyCorp,Energía,2020,75.86,44.06,31.8,361.0,América
395,HealthBridge,Servicios,2021,156.73,142.44,14.29,170.0,Asia
396,InduWare,Industrial,2022,157.63,137.45,20.18,232.0,Europa
397,RetailPlus,Retail,2023,,121.68,20.32,258.0,América
398,TechNova,Tecnología,2024,66.64,42.65,23.99,275.0,Europa
399,InduWare,Industrial,2019,56.28,21.88,34.4,248.0,Asia
